model,reduction_method,percentage,reduction_ratio,representativeness,accuracy,f1,training_time,reduction_time
KNN,PHL_R0_k=3,0.05,0.050003941974140646,7.575727774427623,0.7718582466099022,0.7879445375073464,0.0009152889251708984,566.3793323040009
RF,PHL_R0_k=3,0.05,0.050003941974140646,7.575727774427623,0.812894197414065,0.8089668688697974,0.4600636959075928,566.3793323040009
XGB,PHL_R0_k=3,0.05,0.050003941974140646,7.575727774427623,0.7982497634815515,0.7968652265292601,0.062317609786987305,566.3793323040009
KNN,PHL_V0_k=3,0.05,0.050003941974140646,7.727242329916176,0.6445521917376222,0.6904022284427593,0.0008990764617919922,566.376583814621
RF,PHL_V0_k=3,0.05,0.050003941974140646,7.727242329916176,0.804635761589404,0.7884074798681442,0.5290107727050781,566.376583814621
XGB,PHL_V0_k=3,0.05,0.050003941974140646,7.727242329916176,0.7124921160517187,0.7355790107311317,0.052741050720214844,566.376583814621
KNN,PHL_R0_k=3,0.1,0.09999802901292967,7.575727774427623,0.7465704824976348,0.7742038994020756,0.0014429092407226562,566.3785221576691
RF,PHL_R0_k=3,0.1,0.09999802901292967,7.575727774427623,0.7858325449385052,0.7991663709215474,0.8466167449951172,566.3785221576691
XGB,PHL_R0_k=3,0.1,0.09999802901292967,7.575727774427623,0.7831520025228634,0.7891562892807219,0.06259417533874512,566.3785221576691
KNN,PHL_V0_k=3,0.1,0.09999802901292967,7.727242329916176,0.6716335540838853,0.7086082813962857,0.0014407634735107422,566.3788795471191
RF,PHL_V0_k=3,0.1,0.09999802901292967,7.727242329916176,0.7892226426994638,0.7785843107627428,1.0174267292022705,566.3788795471191
XGB,PHL_V0_k=3,0.1,0.09999802901292967,7.727242329916176,0.7219331441185746,0.7403741125892909,0.06805944442749023,566.3788795471191
KNN,PHL_R0_k=3,0.2,0.20000098549353515,7.575727774427623,0.7634421318196153,0.7892469316270649,0.003510713577270508,566.3824450969696
RF,PHL_R0_k=3,0.2,0.20000098549353515,7.575727774427623,0.7918243456322926,0.8091599322523167,1.866952896118164,566.3824450969696
XGB,PHL_R0_k=3,0.2,0.20000098549353515,7.575727774427623,0.804241564175339,0.8102011564314225,0.10065674781799316,566.3824450969696
KNN,PHL_V0_k=3,0.2,0.20000098549353515,7.727242329916176,0.7424314096499527,0.7554664868070236,0.0023186206817626953,566.3819596767426
RF,PHL_V0_k=3,0.2,0.20000098549353515,7.727242329916176,0.8067250078839483,0.7888484323034456,2.1034469604492188,566.3819596767426
XGB,PHL_V0_k=3,0.2,0.20000098549353515,7.727242329916176,0.790424944812362,0.7831380807395506,0.09790730476379395,566.3819596767426
KNN,PHL_R0_k=3,0.3,0.2999990145064648,5.274751065827536,0.7257962787764112,0.764058009147148,0.0038175582885742188,566.3870651721954
RF,PHL_R0_k=3,0.3,0.2999990145064648,5.274751065827536,0.7329706717123936,0.7703623565856655,3.342242956161499,566.3870651721954
XGB,PHL_R0_k=3,0.3,0.2999990145064648,5.274751065827536,0.719272311573636,0.7598793270027906,0.1233525276184082,566.3870651721954
KNN,PHL_V0_k=3,0.3,0.2999990145064648,5.274751065827536,0.7473194575843582,0.7737391087748217,0.0032770633697509766,566.3860211372375
RF,PHL_V0_k=3,0.3,0.2999990145064648,5.274751065827536,0.786207032481867,0.8039178011621743,3.8217456340789795,566.3860211372375
XGB,PHL_V0_k=3,0.3,0.2999990145064648,5.274751065827536,0.7816540523494165,0.802045820513432,0.13173699378967285,566.3860211372375
KNN,PHL_R0_k=3,0.5,0.5,5.274751065827536,0.7384303058971933,0.7718348501315522,0.005127668380737305,566.3953793048859
RF,PHL_R0_k=3,0.5,0.5,5.274751065827536,0.737287133396405,0.7723415452072849,7.371310472488403,566.3953793048859
XGB,PHL_R0_k=3,0.5,0.5,5.274751065827536,0.7207308420056765,0.7595915668592543,0.20704913139343262,566.3953793048859
KNN,PHL_V0_k=3,0.5,0.5,5.274751065827536,0.7623383790602334,0.7876021903848875,0.0051708221435546875,566.3930423259735
RF,PHL_V0_k=3,0.5,0.5,5.274751065827536,0.7599731945758436,0.7877400899348433,7.73061203956604,566.3930423259735
XGB,PHL_V0_k=3,0.5,0.5,5.274751065827536,0.7457229580573952,0.7771862090279539,0.19265413284301758,566.3930423259735
KNN,PHL_R0_k=3,0.75,0.75,4.545436664656575,0.8254888047934406,0.8224153525611905,0.007399797439575195,566.4056389331818
RF,PHL_R0_k=3,0.75,0.75,4.545436664656575,0.8527278461053296,0.8421734991510409,11.900447607040405,566.4056389331818
XGB,PHL_R0_k=3,0.75,0.75,4.545436664656575,0.855782876064333,0.8460205496313696,0.2975316047668457,566.4056389331818
KNN,PHL_V0_k=3,0.75,0.75,4.341922408783349,0.82560706401766,0.822581905164856,0.007589101791381836,566.4039614200592
RF,PHL_V0_k=3,0.75,0.75,4.341922408783349,0.8518606117943867,0.8407682013299175,12.213191747665405,566.4039614200592
XGB,PHL_V0_k=3,0.75,0.75,4.341922408783349,0.856413591926837,0.8457686494086818,0.29299259185791016,566.4039614200592
KNN,PHL_R0_k=3,0.9,0.9000019709870704,3.4218286970697123,0.8356196783349101,0.8241356903126217,0.009392976760864258,566.4162592887878
RF,PHL_R0_k=3,0.9,0.9000019709870704,3.4218286970697123,0.8593306527909177,0.8348162361419467,14.796136379241943,566.4162592887878
XGB,PHL_R0_k=3,0.9,0.9000019709870704,3.4218286970697123,0.8643960895616525,0.8394499557309671,0.3643937110900879,566.4162592887878
KNN,PHL_V0_k=3,0.9,0.9000019709870704,3.642716119809543,0.8343976663513087,0.8230964462118672,0.009287357330322266,566.4111416339874
RF,PHL_V0_k=3,0.9,0.9000019709870704,3.642716119809543,0.8594094922737306,0.8345654505169798,14.870205640792847,566.4111416339874
XGB,PHL_V0_k=3,0.9,0.9000019709870704,3.642716119809543,0.8648691264585304,0.8395065443927904,0.368361234664917,566.4111416339874
KNN,PHL_R1_k=3,0.05,0.050003941974140646,8.333300551870385,0.7471026490066225,0.7503418838333162,0.0008952617645263672,4822.402051448822
RF,PHL_R1_k=3,0.05,0.050003941974140646,8.333300551870385,0.8250748975086724,0.7918555312358498,0.43709301948547363,4822.402051448822
XGB,PHL_R1_k=3,0.05,0.050003941974140646,8.333300551870385,0.7948596657205929,0.7753216470495302,0.05493927001953125,4822.402051448822
KNN,PHL_R1_k=3,0.1,0.09999802901292967,7.727242329916176,0.7169859665720593,0.7549981860595121,0.0014219284057617188,4822.403982877731
RF,PHL_R1_k=3,0.1,0.09999802901292967,7.727242329916176,0.7388442131819615,0.7723573809026105,1.0715107917785645,4822.403982877731
XGB,PHL_R1_k=3,0.1,0.09999802901292967,7.727242329916176,0.7225047303689688,0.7605720084326612,0.06757378578186035,4822.403982877731
KNN,PHL_R1_k=3,0.2,0.20000098549353515,7.727242329916176,0.7042139703563545,0.7462854154694689,0.0024068355560302734,4822.407389879227
RF,PHL_R1_k=3,0.2,0.20000098549353515,7.727242329916176,0.6965271207820877,0.7412782544213249,2.4209375381469727,4822.407389879227
XGB,PHL_R1_k=3,0.2,0.20000098549353515,7.727242329916176,0.6819023967202775,0.7298324384717623,0.09761333465576172,4822.407389879227
KNN,PHL_R1_k=3,0.3,0.2999990145064648,7.727242329916176,0.6919938505203406,0.7372348883072132,0.0035016536712646484,4822.412506103516
RF,PHL_R1_k=3,0.3,0.2999990145064648,7.727242329916176,0.6768763796909493,0.7259212737312015,4.065420389175415,4822.412506103516
XGB,PHL_R1_k=3,0.3,0.2999990145064648,7.727242329916176,0.6645182907600126,0.7159610091501062,0.12117743492126465,4822.412506103516
KNN,PHL_R1_k=3,0.5,0.5,5.274751065827536,0.7821862188584043,0.8016179391328135,0.005625009536743164,4822.420682191849
RF,PHL_R1_k=3,0.5,0.5,5.274751065827536,0.8032757805108799,0.8200410994054416,7.501994371414185,4822.420682191849
XGB,PHL_R1_k=3,0.5,0.5,5.274751065827536,0.8046751813308105,0.8210279575586449,0.19407153129577637,4822.420682191849
KNN,PHL_R1_k=3,0.75,0.75,4.341922408783349,0.8319339325134028,0.8236676295013285,0.007566213607788086,4822.431503534317
RF,PHL_R1_k=3,0.75,0.75,4.341922408783349,0.8566698202459792,0.8368010536346735,11.91089916229248,4822.431503534317
XGB,PHL_R1_k=3,0.75,0.75,4.341922408783349,0.8621491643014821,0.8431021436867698,0.29529500007629395,4822.431503534317
KNN,PHL_R1_k=3,0.9,0.9000019709870704,4.341922408783349,0.8350678019552191,0.8222390232530361,0.009357929229736328,4822.438223838806
RF,PHL_R1_k=3,0.9,0.9000019709870704,4.341922408783349,0.8600204982655314,0.8335788737600089,14.877712488174438,4822.438223838806
XGB,PHL_R1_k=3,0.9,0.9000019709870704,4.341922408783349,0.8653618732261117,0.8383708748688434,0.3716754913330078,4822.438223838806
